frame,cx,cy,x,y,w,h,yolo_conf,group_id
0,271.5,294.0,252.0,276.0,39.0,36.0,0.526,0.0
1,274.5,277.0,256.0,259.0,37.0,36.0,0.839,0.0
2,277.0,261.5,259.0,246.0,36.0,31.0,0.787,0.0
3,281.0,245.5,262.0,228.0,38.0,35.0,0.848,0.0
4,284.5,231.5,266.0,213.0,37.0,37.0,0.862,0.0
5,288.0,218.0,269.0,199.0,38.0,38.0,0.803,0.0
6,291.5,208.5,272.0,189.0,39.0,39.0,0.605,0.0
7,297.0,198.0,278.0,179.0,38.0,38.0,0.732,0.0
8,304.5,188.5,287.0,170.0,35.0,37.0,0.604,0.0
9,312.0,179.5,294.0,161.0,36.0,37.0,0.826,0.0
10,318.5,171.0,299.0,152.0,39.0,38.0,0.661,0.0
11,328.5,164.0,309.0,145.0,39.0,38.0,,0.0
12,338.5,158.5,320.0,140.0,37.0,37.0,,0.0
13,329.5,154.0,310.0,135.0,39.0,38.0,,0.0
14,330.5,130.0,311.0,111.0,39.0,38.0,,0.0
15,338.5,129.5,320.0,111.0,37.0,37.0,,0.0
16,339.0,124.5,320.0,106.0,38.0,37.0,,0.0
17,339.0,130.5,320.0,112.0,38.0,37.0,,0.0
18,339.5,143.0,321.0,125.0,37.0,36.0,,0.0
19,339.0,156.5,321.0,139.0,36.0,35.0,,0.0
20,339.5,160.0,322.0,143.0,35.0,34.0,,0.0
21,339.0,161.5,322.0,145.0,34.0,33.0,,0.0
22,339.5,165.0,323.0,149.0,33.0,32.0,,0.0
23,338.5,185.0,322.0,169.0,33.0,32.0,,0.0
24,338.5,200.0,322.0,184.0,33.0,32.0,,0.0
25,338.5,200.0,322.0,184.0,33.0,32.0,,0.0
26,339.5,202.0,322.0,185.0,35.0,34.0,,0.0
27,339.0,207.5,322.0,191.0,34.0,33.0,,0.0
28,338.5,223.0,322.0,207.0,33.0,32.0,,0.0
29,339.5,218.0,323.0,202.0,33.0,32.0,,0.0
30,339.5,204.0,323.0,188.0,33.0,32.0,,0.0
31,339.5,204.0,323.0,188.0,33.0,32.0,,0.0
32,339.5,203.0,323.0,187.0,33.0,32.0,,0.0
33,340.0,204.5,324.0,189.0,32.0,31.0,,0.0
34,339.5,209.0,323.0,193.0,33.0,32.0,,0.0
35,337.5,209.5,322.0,194.0,31.0,31.0,,0.0
36,333.5,213.5,317.0,197.0,33.0,33.0,,0.0
37,338.0,204.5,323.0,190.0,30.0,29.0,,0.0
38,339.0,208.5,324.0,194.0,30.0,29.0,,0.0
39,339.0,206.5,324.0,192.0,30.0,29.0,,0.0
40,339.0,208.5,324.0,194.0,30.0,29.0,,0.0
41,,,,,,,,
42,338.0,209.5,323.0,195.0,30.0,29.0,,0.0
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,338.5,209.0,324.0,195.0,29.0,28.0,,0.0
48,337.0,206.0,323.0,192.0,28.0,28.0,,0.0
49,337.0,206.0,323.0,192.0,28.0,28.0,,0.0
50,337.0,206.0,323.0,192.0,28.0,28.0,,0.0
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,332.5,215.5,317.0,200.0,31.0,31.0,,0.0
55,333.5,215.5,318.0,200.0,31.0,31.0,,0.0
56,330.5,214.5,315.0,199.0,31.0,31.0,,0.0
57,338.5,207.5,323.0,192.0,31.0,31.0,,0.0
58,339.5,208.5,324.0,193.0,31.0,31.0,,0.0
59,329.5,207.5,314.0,192.0,31.0,31.0,,0.0
60,322.0,208.0,307.0,193.0,30.0,30.0,0.768,0.0
61,319.0,213.0,304.0,199.0,30.0,28.0,0.839,0.0
62,318.0,220.5,304.0,207.0,28.0,27.0,0.876,0.0
63,320.0,231.0,307.0,218.0,26.0,26.0,0.846,0.0
64,326.0,242.0,313.0,229.0,26.0,26.0,,0.0
65,323.0,235.0,310.0,222.0,26.0,26.0,,0.0
66,322.5,235.5,309.0,222.0,27.0,27.0,,0.0
67,321.5,235.5,308.0,222.0,27.0,27.0,,0.0
68,322.0,231.0,309.0,218.0,26.0,26.0,,0.0
69,322.0,235.0,309.0,222.0,26.0,26.0,,0.0
70,322.0,235.0,309.0,222.0,26.0,26.0,,0.0
71,322.0,235.0,309.0,222.0,26.0,26.0,,0.0
72,321.0,236.0,308.0,223.0,26.0,26.0,,0.0
