frame,cx,cy,x,y,w,h,yolo_conf,group_id
0,342.0,301.5,324.0,285.0,36.0,33.0,0.847,0.0
1,345.5,284.0,327.0,266.0,37.0,36.0,0.869,0.0
2,348.0,269.5,330.0,254.0,36.0,31.0,0.848,0.0
3,351.0,253.5,332.0,235.0,38.0,37.0,0.845,0.0
4,355.0,239.5,336.0,220.0,38.0,39.0,0.832,0.0
5,359.5,227.0,341.0,207.0,37.0,40.0,0.706,0.0
6,362.0,216.0,343.0,197.0,38.0,38.0,0.738,0.0
7,368.0,206.0,349.0,187.0,38.0,38.0,,0.0
8,372.5,196.0,352.0,177.0,41.0,38.0,0.823,0.0
9,381.5,188.5,362.0,170.0,39.0,37.0,0.685,0.0
10,392.5,179.0,374.0,160.0,37.0,38.0,0.751,0.0
11,403.5,172.0,386.0,154.0,35.0,36.0,0.72,0.0
12,414.0,165.0,393.0,145.0,42.0,40.0,0.784,0.0
13,426.0,160.0,404.0,141.0,44.0,38.0,0.808,0.0
14,440.0,155.0,418.0,134.0,44.0,42.0,0.831,0.0
15,453.0,150.5,432.0,130.0,42.0,41.0,0.807,0.0
16,461.0,148.0,443.0,127.0,36.0,42.0,0.789,0.0
17,469.5,144.0,452.0,124.0,35.0,40.0,,0.0
18,476.0,144.0,459.0,124.0,34.0,40.0,,0.0
19,478.5,141.5,462.0,122.0,33.0,39.0,,0.0
20,479.0,142.0,462.0,122.0,34.0,40.0,,0.0
21,471.5,146.0,454.0,126.0,35.0,40.0,,0.0
22,470.5,172.5,453.0,152.0,35.0,41.0,,0.0
23,475.5,157.0,458.0,137.0,35.0,40.0,,0.0
24,479.5,164.0,462.0,144.0,35.0,40.0,,0.0
25,478.5,174.5,461.0,154.0,35.0,41.0,,0.0
26,457.5,170.0,440.0,150.0,35.0,40.0,,0.0
27,463.5,147.5,447.0,128.0,33.0,39.0,,0.0
28,447.5,146.0,431.0,127.0,33.0,38.0,,0.0
29,448.5,145.0,432.0,126.0,33.0,38.0,,0.0
30,460.5,142.0,444.0,123.0,33.0,38.0,,0.0
31,467.5,137.5,452.0,119.0,31.0,37.0,,0.0
32,459.0,248.0,452.0,236.0,14.0,24.0,,1.0
33,467.0,250.0,460.0,238.0,14.0,24.0,,1.0
34,461.0,248.0,454.0,236.0,14.0,24.0,,1.0
35,462.0,247.5,455.0,235.0,14.0,25.0,,1.0
36,464.5,240.0,457.0,227.0,15.0,26.0,,1.0
37,467.0,238.5,459.0,225.0,16.0,27.0,,1.0
38,463.0,241.5,455.0,227.0,16.0,29.0,,1.0
39,464.0,240.0,456.0,226.0,16.0,28.0,,1.0
40,473.0,241.0,465.0,227.0,16.0,28.0,,1.0
41,470.0,246.5,462.0,232.0,16.0,29.0,,1.0
42,466.0,246.5,458.0,232.0,16.0,29.0,,1.0
43,466.0,260.5,458.0,246.0,16.0,29.0,,1.0
44,476.0,254.5,468.0,240.0,16.0,29.0,,1.0
45,478.0,242.0,470.0,228.0,16.0,28.0,,1.0
46,472.0,257.0,464.0,243.0,16.0,28.0,0.688,1.0
47,469.5,277.0,459.0,262.0,21.0,30.0,0.722,1.0
48,465.0,302.0,451.0,287.0,28.0,30.0,0.709,1.0
49,463.5,293.5,448.0,279.0,31.0,29.0,0.832,1.0
50,461.0,278.0,443.0,262.0,36.0,32.0,0.848,1.0
51,458.0,265.0,439.0,251.0,38.0,28.0,0.829,1.0
52,452.0,254.0,436.0,243.0,32.0,22.0,0.553,1.0
53,449.5,249.0,434.0,238.0,31.0,22.0,,1.0
54,449.5,228.0,432.0,213.0,35.0,30.0,,1.0
55,441.0,221.5,423.0,206.0,36.0,31.0,0.549,1.0
56,429.5,217.5,410.0,201.0,39.0,33.0,0.779,1.0
57,418.5,214.5,402.0,199.0,33.0,31.0,0.808,1.0
58,408.0,212.5,393.0,197.0,30.0,31.0,0.709,1.0
59,400.0,213.5,384.0,199.0,32.0,29.0,0.624,1.0
60,394.0,215.5,378.0,201.0,32.0,29.0,0.804,1.0
61,389.5,220.5,374.0,206.0,31.0,29.0,0.873,1.0
62,388.0,228.0,374.0,214.0,28.0,28.0,0.862,1.0
63,389.5,238.5,377.0,225.0,25.0,27.0,0.761,1.0
64,395.5,249.5,383.0,236.0,25.0,27.0,,1.0
65,388.5,248.5,376.0,235.0,25.0,27.0,,1.0
66,391.5,239.5,379.0,226.0,25.0,27.0,,1.0
67,426.0,292.5,417.0,283.0,18.0,19.0,0.758,2.0
68,439.0,285.5,424.0,269.0,30.0,33.0,0.669,2.0
69,452.0,270.0,437.0,256.0,30.0,28.0,0.799,2.0
70,459.5,259.5,446.0,246.0,27.0,27.0,0.801,2.0
71,465.0,250.5,453.0,238.0,24.0,25.0,0.747,2.0
72,467.5,241.5,457.0,228.0,21.0,27.0,0.793,2.0
73,469.0,234.0,459.0,221.0,20.0,26.0,0.778,2.0
74,469.5,227.0,460.0,215.0,19.0,24.0,0.803,2.0
75,469.0,224.0,459.0,212.0,20.0,24.0,0.841,2.0
76,467.5,222.0,456.0,209.0,23.0,26.0,0.849,2.0
77,466.5,221.0,455.0,208.0,23.0,26.0,0.85,2.0
78,462.5,221.0,452.0,208.0,21.0,26.0,0.765,2.0
79,456.5,222.5,446.0,211.0,21.0,23.0,0.577,2.0
80,449.0,227.0,439.0,216.0,20.0,22.0,,2.0
81,463.5,230.5,454.0,220.0,19.0,21.0,,2.0
82,465.5,229.5,456.0,219.0,19.0,21.0,,2.0
83,359.0,285.0,348.0,274.0,22.0,22.0,,3.0
84,365.0,281.0,354.0,270.0,22.0,22.0,,3.0
85,368.0,277.0,357.0,266.0,22.0,22.0,,3.0
86,357.0,280.0,346.0,269.0,22.0,22.0,0.775,3.0
87,347.5,270.0,336.0,259.0,23.0,22.0,0.718,3.0
88,339.0,259.5,327.0,247.0,24.0,25.0,0.723,3.0
89,329.5,251.0,317.0,239.0,25.0,24.0,0.758,3.0
90,320.5,239.5,308.0,225.0,25.0,29.0,0.795,3.0
91,313.5,231.0,302.0,217.0,23.0,28.0,0.779,3.0
92,307.5,223.0,295.0,210.0,25.0,26.0,0.782,3.0
93,302.0,216.0,290.0,203.0,24.0,26.0,0.828,3.0
94,298.5,209.0,287.0,197.0,23.0,24.0,0.8,3.0
95,295.5,203.0,283.0,191.0,25.0,24.0,0.765,3.0
96,293.0,197.5,280.0,184.0,26.0,27.0,0.717,3.0
97,291.5,198.0,281.0,187.0,21.0,22.0,0.632,3.0
98,291.0,198.5,281.0,188.0,20.0,21.0,,3.0
99,292.5,203.0,282.0,194.0,21.0,18.0,0.767,3.0
100,290.0,210.5,280.0,200.0,20.0,21.0,0.77,3.0
101,286.0,222.5,276.0,212.0,20.0,21.0,0.736,3.0
102,279.0,239.5,270.0,229.0,18.0,21.0,0.638,3.0
103,268.5,255.0,259.0,244.0,19.0,22.0,0.668,3.0
104,259.0,272.5,248.0,261.0,22.0,23.0,0.742,3.0
105,253.5,271.0,243.0,259.0,21.0,24.0,0.554,3.0
106,246.5,257.5,235.0,246.0,23.0,23.0,0.711,3.0
107,239.0,244.5,229.0,234.0,20.0,21.0,0.524,3.0
108,235.0,234.5,225.0,224.0,20.0,21.0,,3.0
109,230.0,224.0,222.0,213.0,16.0,22.0,,3.0
110,228.0,220.0,220.0,209.0,16.0,22.0,0.697,3.0
111,227.5,221.0,220.0,212.0,15.0,18.0,0.695,3.0
112,226.5,224.0,219.0,214.0,15.0,20.0,0.633,3.0
113,230.5,234.0,223.0,224.0,15.0,20.0,,3.0
114,229.0,251.0,219.0,241.0,20.0,20.0,,3.0
115,237.0,262.0,227.0,252.0,20.0,20.0,0.575,3.0
116,245.0,276.0,235.0,266.0,20.0,20.0,,3.0
117,254.0,274.0,245.0,265.0,18.0,18.0,,3.0
118,265.0,258.5,254.0,248.0,22.0,21.0,,3.0
119,270.0,246.5,259.0,236.0,22.0,21.0,,3.0
120,276.0,235.5,265.0,225.0,22.0,21.0,0.54,3.0
