group_id,nb_frames,frame_start,frame_end,last_cx,last_cy
0,72,0,71,409.0,313.0
1,159,72,230,275.0,252.5
2,24,231,254,205.0,275.5
3,29,255,283,364.5,219.0
4,117,284,400,214.0,300.5
5,22,401,431,444.5,339.5
6,283,432,723,336.5,229.5
7,13,724,736,307.0,354.0
8,59,737,795,267.0,247.0
9,61,796,856,186.0,133.0
10,360,857,1219,431.0,212.0
11,340,1220,1564,310.5,320.5
12,32,1565,1596,285.5,149.5
13,31,1615,1645,193.5,161.0
14,82,1653,1747,322.5,269.0
15,257,1748,2010,104.5,313.5
16,99,2011,2109,0.0,295.5
17,72,2110,2193,368.5,249.0
18,12,2128,2139,16.5,360.0
19,107,2194,2300,202.5,113.0
20,246,2301,2671,5.0,255.5
21,5,2672,2676,66.5,240.0
22,1,2677,2677,88.0,277.5
23,1,2678,2678,107.5,314.5
24,1,2679,2679,126.0,357.0
25,2,2680,2681,156.0,395.0
26,21,2682,2702,373.0,315.5
27,12,2703,2714,407.0,236.5
28,32,2715,2746,358.0,298.0
