group_id,nb_frames,frame_start,frame_end,last_cx,last_cy
0,74,0,73,424.5,330.5
1,154,74,227,282.0,260.0
2,26,228,253,192.5,293.0
3,29,254,282,362.5,239.0
4,65,283,347,200.0,84.0
5,39,355,393,209.0,266.5
6,323,394,734,293.0,278.5
7,12,413,424,444.5,354.5
8,44,735,778,197.5,226.5
9,23,779,801,294.5,366.0
10,53,802,854,207.0,116.5
11,365,859,1223,441.5,237.0
12,113,1226,1338,259.0,291.0
13,20,1339,1358,412.0,329.0
14,271,1359,1634,171.0,189.0
15,445,1647,2109,0.0,310.0
16,16,2124,2139,8.0,368.5
17,41,2140,2180,299.5,325.5
18,17,2181,2197,355.5,310.0
19,105,2198,2302,195.0,138.5
20,234,2307,2671,10.0,259.5
21,4,2672,2675,42.5,229.5
22,1,2676,2676,68.0,255.0
23,1,2677,2677,80.5,295.0
24,1,2678,2678,108.5,328.5
25,1,2679,2679,125.5,370.0
26,2,2680,2681,153.5,408.0
27,21,2682,2702,373.5,328.0
28,13,2703,2715,386.0,280.0
29,31,2716,2746,356.5,313.5
30,74,2747,2820,178.0,193.5
