frame,cx,cy,x,y,w,h,conf
0,170.5,204.0,161.0,193.0,19.0,22.0,0.752
1,170.5,204.0,161.0,193.0,19.0,22.0,0.757
2,171.5,203.5,162.0,193.0,19.0,21.0,0.752
3,171.0,204.0,161.0,193.0,20.0,22.0,0.77
4,171.0,204.0,161.0,193.0,20.0,22.0,0.766
5,171.0,204.0,161.0,193.0,20.0,22.0,0.778
6,171.5,204.0,161.0,193.0,21.0,22.0,0.774
7,171.5,204.0,161.0,193.0,21.0,22.0,0.767
8,171.5,204.5,161.0,193.0,21.0,23.0,0.776
9,171.5,204.5,161.0,193.0,21.0,23.0,0.768
10,171.5,204.5,162.0,193.0,19.0,23.0,0.785
11,171.0,204.5,161.0,193.0,20.0,23.0,0.787
12,171.5,204.5,162.0,193.0,19.0,23.0,0.802
13,171.5,204.5,162.0,193.0,19.0,23.0,0.801
14,171.5,204.5,162.0,193.0,19.0,23.0,0.805
15,171.5,204.5,162.0,193.0,19.0,23.0,0.81
16,171.5,204.5,162.0,193.0,19.0,23.0,0.811
17,171.5,204.5,162.0,193.0,19.0,23.0,0.808
18,171.5,204.5,162.0,193.0,19.0,23.0,0.806
19,171.5,204.5,162.0,193.0,19.0,23.0,0.805
20,171.0,204.5,161.0,193.0,20.0,23.0,0.81
21,171.0,204.5,161.0,193.0,20.0,23.0,0.812
22,171.0,204.5,161.0,193.0,20.0,23.0,0.806
23,171.0,204.5,161.0,193.0,20.0,23.0,0.806
24,171.0,204.5,161.0,193.0,20.0,23.0,0.832
25,171.0,204.5,161.0,193.0,20.0,23.0,0.835
26,171.0,204.5,161.0,193.0,20.0,23.0,0.831
27,171.0,204.5,161.0,193.0,20.0,23.0,0.821
28,171.0,204.5,161.0,193.0,20.0,23.0,0.816
29,171.0,204.5,161.0,193.0,20.0,23.0,0.818
30,171.0,204.5,161.0,193.0,20.0,23.0,0.806
31,171.0,204.5,161.0,193.0,20.0,23.0,0.801
32,171.0,204.5,161.0,193.0,20.0,23.0,0.807
33,171.0,204.5,161.0,193.0,20.0,23.0,0.805
34,171.0,204.5,161.0,193.0,20.0,23.0,0.805
35,171.0,204.5,161.0,193.0,20.0,23.0,0.801
36,171.5,204.5,161.0,193.0,21.0,23.0,0.774
37,171.5,204.5,161.0,193.0,21.0,23.0,0.778
38,171.5,204.5,161.0,193.0,21.0,23.0,0.78
39,171.5,204.5,162.0,193.0,19.0,23.0,0.783
40,171.5,204.5,162.0,193.0,19.0,23.0,0.779
41,171.5,204.5,162.0,193.0,19.0,23.0,0.78
42,171.5,204.5,162.0,193.0,19.0,23.0,0.784
43,171.5,204.5,162.0,193.0,19.0,23.0,0.784
44,171.0,204.5,161.0,193.0,20.0,23.0,0.781
45,171.0,204.5,161.0,193.0,20.0,23.0,0.783
46,171.0,204.5,161.0,193.0,20.0,23.0,0.78
47,171.0,204.5,161.0,193.0,20.0,23.0,0.779
48,171.5,204.0,162.0,193.0,19.0,22.0,0.804
49,171.5,204.0,162.0,193.0,19.0,22.0,0.805
50,172.0,204.0,162.0,193.0,20.0,22.0,0.8
51,172.0,204.0,162.0,193.0,20.0,22.0,0.8
52,172.0,204.0,162.0,193.0,20.0,22.0,0.802
53,171.5,204.0,162.0,193.0,19.0,22.0,0.803
54,172.0,204.0,162.0,193.0,20.0,22.0,0.8
55,171.5,204.0,162.0,193.0,19.0,22.0,0.801
56,172.0,204.0,162.0,193.0,20.0,22.0,0.8
57,172.0,204.0,162.0,193.0,20.0,22.0,0.792
58,172.0,204.0,162.0,193.0,20.0,22.0,0.793
59,172.0,204.0,162.0,193.0,20.0,22.0,0.793
60,172.0,204.0,162.0,193.0,20.0,22.0,0.799
61,172.0,204.0,162.0,193.0,20.0,22.0,0.798
62,172.0,204.0,162.0,193.0,20.0,22.0,0.797
63,172.0,204.0,162.0,193.0,20.0,22.0,0.797
64,172.0,204.0,162.0,193.0,20.0,22.0,0.797
65,172.0,204.0,162.0,193.0,20.0,22.0,0.797
66,172.0,204.0,162.0,193.0,20.0,22.0,0.798
67,172.0,204.0,162.0,193.0,20.0,22.0,0.799
68,172.0,204.0,162.0,193.0,20.0,22.0,0.799
69,172.0,204.0,162.0,193.0,20.0,22.0,0.799
70,172.0,204.0,162.0,193.0,20.0,22.0,0.798
71,172.0,204.0,162.0,193.0,20.0,22.0,0.798
72,172.0,204.0,162.0,193.0,20.0,22.0,0.797
73,172.0,204.0,162.0,193.0,20.0,22.0,0.799
74,172.0,204.0,162.0,193.0,20.0,22.0,0.799
75,172.0,204.0,162.0,193.0,20.0,22.0,0.8
76,172.0,204.0,162.0,193.0,20.0,22.0,0.8
77,172.0,204.0,162.0,193.0,20.0,22.0,0.8
78,172.0,204.0,162.0,193.0,20.0,22.0,0.8
79,172.0,204.0,162.0,193.0,20.0,22.0,0.8
80,172.0,204.0,162.0,193.0,20.0,22.0,0.8
81,172.0,204.0,162.0,193.0,20.0,22.0,0.799
82,172.0,204.0,162.0,193.0,20.0,22.0,0.798
83,172.0,204.0,162.0,193.0,20.0,22.0,0.798
84,171.5,204.0,161.0,193.0,21.0,22.0,0.799
85,171.5,204.0,161.0,193.0,21.0,22.0,0.797
86,171.5,204.0,161.0,193.0,21.0,22.0,0.8
87,171.5,204.0,161.0,193.0,21.0,22.0,0.798
88,171.5,204.0,161.0,193.0,21.0,22.0,0.802
89,171.5,204.0,161.0,193.0,21.0,22.0,0.802
90,171.5,204.0,161.0,193.0,21.0,22.0,0.811
91,172.0,204.0,162.0,193.0,20.0,22.0,0.815
92,171.5,204.0,161.0,193.0,21.0,22.0,0.814
93,172.0,204.0,162.0,193.0,20.0,22.0,0.814
94,172.0,204.0,162.0,193.0,20.0,22.0,0.815
95,171.5,204.0,161.0,193.0,21.0,22.0,0.816
96,171.5,204.0,162.0,193.0,19.0,22.0,0.812
97,171.5,204.0,162.0,193.0,19.0,22.0,0.812
98,171.5,204.5,162.0,193.0,19.0,23.0,0.816
99,171.5,204.5,162.0,193.0,19.0,23.0,0.816
100,171.5,204.5,162.0,193.0,19.0,23.0,0.816
101,171.5,204.0,162.0,193.0,19.0,22.0,0.817
102,171.5,204.5,162.0,193.0,19.0,23.0,0.817
103,171.5,204.0,162.0,193.0,19.0,22.0,0.815
104,172.0,204.0,162.0,193.0,20.0,22.0,0.819
105,172.0,204.0,162.0,193.0,20.0,22.0,0.82
106,172.0,204.0,162.0,193.0,20.0,22.0,0.821
107,172.0,204.0,162.0,193.0,20.0,22.0,0.821
108,171.5,204.0,162.0,193.0,19.0,22.0,0.825
109,171.5,204.0,162.0,193.0,19.0,22.0,0.827
110,171.5,204.0,162.0,193.0,19.0,22.0,0.827
111,171.5,204.0,162.0,193.0,19.0,22.0,0.827
112,171.5,204.0,162.0,193.0,19.0,22.0,0.827
113,171.5,204.0,162.0,193.0,19.0,22.0,0.827
114,171.5,204.0,162.0,193.0,19.0,22.0,0.827
115,171.5,204.0,162.0,193.0,19.0,22.0,0.826
116,171.5,204.0,162.0,193.0,19.0,22.0,0.824
117,171.5,204.0,162.0,193.0,19.0,22.0,0.822
118,171.5,204.0,162.0,193.0,19.0,22.0,0.822
119,171.5,204.0,162.0,193.0,19.0,22.0,0.821
120,171.5,204.0,162.0,193.0,19.0,22.0,0.819
121,171.5,204.0,162.0,193.0,19.0,22.0,0.819
122,171.5,204.0,162.0,193.0,19.0,22.0,0.817
123,171.5,204.0,162.0,193.0,19.0,22.0,0.817
124,171.5,204.0,162.0,193.0,19.0,22.0,0.818
125,171.5,204.0,162.0,193.0,19.0,22.0,0.818
126,171.5,204.0,162.0,193.0,19.0,22.0,0.817
127,171.5,204.0,162.0,193.0,19.0,22.0,0.817
128,171.5,204.0,162.0,193.0,19.0,22.0,0.818
129,171.5,204.0,162.0,193.0,19.0,22.0,0.818
130,171.5,204.0,162.0,193.0,19.0,22.0,0.818
131,171.5,204.0,162.0,193.0,19.0,22.0,0.816
132,171.5,204.0,162.0,193.0,19.0,22.0,0.815
133,171.5,204.0,162.0,193.0,19.0,22.0,0.812
134,171.5,204.0,162.0,193.0,19.0,22.0,0.815
135,171.5,204.0,162.0,193.0,19.0,22.0,0.814
136,171.5,204.0,162.0,193.0,19.0,22.0,0.813
137,171.5,204.0,162.0,193.0,19.0,22.0,0.813
138,171.5,204.0,162.0,193.0,19.0,22.0,0.812
139,171.5,204.0,162.0,193.0,19.0,22.0,0.811
140,171.5,204.0,162.0,193.0,19.0,22.0,0.814
141,171.5,204.0,162.0,193.0,19.0,22.0,0.814
142,171.5,204.0,162.0,193.0,19.0,22.0,0.816
143,171.5,204.0,162.0,193.0,19.0,22.0,0.815
144,171.5,204.0,162.0,193.0,19.0,22.0,0.815
145,171.5,204.0,162.0,193.0,19.0,22.0,0.816
146,171.5,204.0,162.0,193.0,19.0,22.0,0.814
147,171.5,204.0,162.0,193.0,19.0,22.0,0.808
148,171.5,204.0,162.0,193.0,19.0,22.0,0.811
149,171.5,204.0,162.0,193.0,19.0,22.0,0.814
150,171.5,204.0,162.0,193.0,19.0,22.0,0.811
151,171.5,204.0,162.0,193.0,19.0,22.0,0.807
152,171.5,204.0,162.0,193.0,19.0,22.0,0.804
153,171.5,204.0,162.0,193.0,19.0,22.0,0.805
154,171.5,204.0,162.0,193.0,19.0,22.0,0.787
155,171.5,204.0,162.0,193.0,19.0,22.0,0.792
156,171.0,204.0,161.0,193.0,20.0,22.0,0.781
157,171.0,204.0,161.0,193.0,20.0,22.0,0.784
158,171.0,204.0,161.0,193.0,20.0,22.0,0.775
159,171.0,204.5,161.0,193.0,20.0,23.0,0.773
160,171.0,204.5,161.0,193.0,20.0,23.0,0.759
161,171.0,204.5,161.0,193.0,20.0,23.0,0.731
162,171.0,204.5,161.0,193.0,20.0,23.0,0.726
163,171.0,204.5,161.0,193.0,20.0,23.0,0.702
164,171.0,203.5,161.0,192.0,20.0,23.0,0.686
165,171.0,203.5,161.0,192.0,20.0,23.0,0.501
166,,,,,,,
167,,,,,,,
168,,,,,,,
169,,,,,,,
170,,,,,,,
171,,,,,,,
172,,,,,,,
173,,,,,,,
174,,,,,,,
175,,,,,,,
176,,,,,,,
177,,,,,,,
178,,,,,,,
179,,,,,,,
180,,,,,,,
181,,,,,,,
182,,,,,,,
183,,,,,,,
184,,,,,,,
185,,,,,,,
186,,,,,,,
187,,,,,,,
188,,,,,,,
189,,,,,,,
190,,,,,,,
191,,,,,,,
192,,,,,,,
193,,,,,,,
194,,,,,,,
195,,,,,,,
196,,,,,,,
197,,,,,,,
198,,,,,,,
199,,,,,,,
200,,,,,,,
201,,,,,,,
202,,,,,,,
203,,,,,,,
204,,,,,,,
205,,,,,,,
206,,,,,,,
207,,,,,,,
208,,,,,,,
209,,,,,,,
210,,,,,,,
211,,,,,,,
212,,,,,,,
213,,,,,,,
214,,,,,,,
215,,,,,,,
216,,,,,,,
217,,,,,,,
218,,,,,,,
219,,,,,,,
220,,,,,,,
221,,,,,,,
222,169.5,202.0,160.0,192.0,19.0,20.0,0.512
223,170.0,203.5,160.0,193.0,20.0,21.0,0.425
224,170.5,203.0,160.0,193.0,21.0,20.0,0.512
225,171.5,203.5,161.0,193.0,21.0,21.0,0.668
226,171.5,204.0,162.0,193.0,19.0,22.0,0.716
227,171.5,204.0,162.0,193.0,19.0,22.0,0.721
228,171.5,204.5,162.0,193.0,19.0,23.0,0.767
229,171.5,204.5,162.0,194.0,19.0,21.0,0.766
230,171.5,204.5,162.0,194.0,19.0,21.0,0.761
231,171.5,204.5,162.0,194.0,19.0,21.0,0.765
232,171.0,204.5,162.0,194.0,18.0,21.0,0.754
233,171.5,204.5,162.0,194.0,19.0,21.0,0.753
234,171.5,204.0,162.0,193.0,19.0,22.0,0.761
235,171.5,204.5,162.0,194.0,19.0,21.0,0.757
236,171.5,204.5,162.0,194.0,19.0,21.0,0.747
237,171.5,204.5,162.0,194.0,19.0,21.0,0.729
238,171.5,204.5,162.0,194.0,19.0,21.0,0.755
239,171.5,204.0,162.0,193.0,19.0,22.0,0.734
240,171.0,204.5,162.0,193.0,18.0,23.0,0.739
241,171.5,204.5,162.0,193.0,19.0,23.0,0.702
242,172.0,204.0,162.0,193.0,20.0,22.0,0.667
243,171.5,204.0,162.0,193.0,19.0,22.0,0.577
244,171.5,204.0,161.0,193.0,21.0,22.0,0.503
245,171.5,204.0,161.0,193.0,21.0,22.0,0.518
246,171.0,204.5,161.0,193.0,20.0,23.0,0.607
247,171.5,205.5,162.0,193.0,19.0,25.0,0.632
248,171.5,204.0,162.0,193.0,19.0,22.0,0.666
249,171.5,204.0,162.0,193.0,19.0,22.0,0.693
