frame,cx,cy,x,y,w,h,conf
0,240.5,143.5,230,133,21,21,0.801
1,240.5,144.0,230,133,21,22,0.801
2,240.5,143.5,230,133,21,21,0.798
3,240.5,143.5,230,133,21,21,0.799
4,240.5,143.5,230,133,21,21,0.791
5,240.5,143.5,230,133,21,21,0.789
6,240.5,143.5,230,133,21,21,0.791
7,240.5,143.5,230,133,21,21,0.795
8,240.5,143.5,230,133,21,21,0.803
9,240.5,143.5,230,133,21,21,0.808
10,240.5,143.5,230,133,21,21,0.807
11,240.5,143.5,230,133,21,21,0.811
12,240.5,143.5,230,133,21,21,0.812
13,240.5,143.5,230,133,21,21,0.811
14,240.5,143.5,230,133,21,21,0.808
15,240.5,143.5,230,133,21,21,0.806
16,240.5,143.5,230,133,21,21,0.811
17,240.5,143.5,230,133,21,21,0.816
18,240.5,143.5,230,133,21,21,0.816
19,240.5,143.5,230,133,21,21,0.817
20,240.5,143.5,230,133,21,21,0.817
21,240.5,143.5,230,133,21,21,0.817
22,240.5,143.5,230,133,21,21,0.82
23,240.5,143.5,230,133,21,21,0.82
24,240.5,143.5,230,133,21,21,0.824
25,240.5,143.5,230,133,21,21,0.824
26,240.5,143.5,230,133,21,21,0.824
27,240.5,143.5,230,133,21,21,0.824
28,240.5,143.5,230,133,21,21,0.824
29,240.5,143.5,230,133,21,21,0.824
30,240.5,143.5,230,133,21,21,0.826
31,240.5,143.5,230,133,21,21,0.823
32,240.5,143.5,230,133,21,21,0.823
33,240.5,143.5,230,133,21,21,0.824
34,240.5,143.5,230,133,21,21,0.823
35,240.5,143.5,230,133,21,21,0.822
36,241.0,143.5,230,133,22,21,0.827
37,241.0,143.5,230,133,22,21,0.827
38,241.0,143.5,230,133,22,21,0.827
39,241.0,143.5,230,133,22,21,0.827
40,241.0,143.5,230,133,22,21,0.826
41,241.0,143.5,230,133,22,21,0.826
42,240.5,143.5,230,133,21,21,0.828
43,240.5,143.5,230,133,21,21,0.828
44,241.0,143.5,230,133,22,21,0.83
45,241.0,143.5,230,133,22,21,0.83
46,241.0,143.5,230,133,22,21,0.83
47,241.5,143.5,231,133,21,21,0.832
48,241.0,143.5,230,133,22,21,0.823
49,241.0,143.5,230,133,22,21,0.823
50,241.0,143.5,230,133,22,21,0.822
51,241.0,143.5,230,133,22,21,0.822
52,241.0,143.5,230,133,22,21,0.822
53,241.0,143.5,230,133,22,21,0.822
54,241.0,143.5,230,133,22,21,0.822
55,241.0,143.5,230,133,22,21,0.822
56,241.0,143.5,230,133,22,21,0.821
57,241.0,143.5,230,133,22,21,0.821
58,241.0,143.5,230,133,22,21,0.818
59,241.0,143.5,230,133,22,21,0.817
60,241.0,143.5,230,133,22,21,0.818
61,241.0,143.5,230,133,22,21,0.817
62,241.0,143.5,230,133,22,21,0.817
63,241.0,143.5,230,133,22,21,0.817
64,241.0,143.5,230,133,22,21,0.817
65,241.0,143.5,230,133,22,21,0.818
66,241.0,143.5,230,133,22,21,0.82
67,241.0,143.5,230,133,22,21,0.821
68,241.0,143.5,230,133,22,21,0.82
69,241.0,143.5,230,133,22,21,0.818
70,241.0,143.5,230,133,22,21,0.817
71,241.0,143.5,230,133,22,21,0.817
72,241.0,143.5,230,133,22,21,0.821
73,241.0,143.5,230,133,22,21,0.82
74,241.0,143.5,230,133,22,21,0.819
75,241.0,143.5,230,133,22,21,0.819
76,241.0,143.5,230,133,22,21,0.819
77,241.0,143.5,230,133,22,21,0.818
78,241.0,143.5,230,133,22,21,0.818
79,241.0,143.5,230,133,22,21,0.819
80,241.0,143.5,230,133,22,21,0.819
81,241.0,143.5,230,133,22,21,0.819
82,241.0,143.5,230,133,22,21,0.818
83,241.0,143.5,230,133,22,21,0.818
84,241.0,143.5,230,133,22,21,0.816
85,241.0,143.5,230,133,22,21,0.815
86,241.0,143.5,230,133,22,21,0.816
87,241.0,143.5,230,133,22,21,0.81
88,241.0,143.5,230,133,22,21,0.806
89,241.0,143.5,230,133,22,21,0.803
90,240.5,143.5,230,133,21,21,0.805
91,240.5,143.5,230,133,21,21,0.803
92,240.5,143.5,230,133,21,21,0.802
93,240.5,143.5,230,133,21,21,0.802
94,240.5,143.5,230,133,21,21,0.8
95,241.0,143.5,230,133,22,21,0.798
96,240.5,144.0,230,133,21,22,0.814
97,240.5,143.5,230,133,21,21,0.816
98,240.5,143.5,230,133,21,21,0.816
99,240.5,143.5,230,133,21,21,0.816
100,240.5,143.5,230,133,21,21,0.815
101,240.5,143.5,230,133,21,21,0.813
102,240.5,143.5,230,133,21,21,0.816
103,240.5,143.5,230,133,21,21,0.815
104,240.5,143.5,230,133,21,21,0.813
105,240.5,143.5,230,133,21,21,0.811
106,240.5,143.5,230,133,21,21,0.814
107,240.5,143.5,230,133,21,21,0.816
108,240.5,143.5,230,133,21,21,0.808
109,240.5,143.5,230,133,21,21,0.802
110,240.5,143.5,230,133,21,21,0.801
111,240.5,143.5,230,133,21,21,0.801
112,240.5,143.5,230,133,21,21,0.804
113,240.5,143.0,230,133,21,20,0.805
114,240.5,143.0,230,133,21,20,0.805
115,240.5,143.0,230,133,21,20,0.808
116,240.5,143.0,230,133,21,20,0.811
117,240.5,143.0,230,133,21,20,0.812
118,240.5,143.0,230,133,21,20,0.812
119,240.5,143.0,230,133,21,20,0.81
120,240.5,142.5,230,132,21,21,0.798
121,240.5,142.5,230,132,21,21,0.785
122,240.5,142.5,230,132,21,21,0.768
123,240.5,142.5,230,132,21,21,0.762
124,240.0,142.5,229,132,22,21,0.765
125,240.0,142.5,229,132,22,21,0.764
126,240.0,142.5,229,132,22,21,0.764
127,240.0,142.5,229,132,22,21,0.763
128,240.5,142.5,230,132,21,21,0.773
129,240.5,143.0,230,133,21,20,0.772
130,240.5,143.0,230,133,21,20,0.782
131,240.5,143.0,230,133,21,20,0.798
132,240.5,143.0,230,133,21,20,0.792
133,240.5,142.5,230,132,21,21,0.795
134,240.5,143.0,230,133,21,20,0.793
135,240.5,143.0,230,133,21,20,0.8
136,240.5,143.5,230,133,21,21,0.797
137,240.5,143.0,230,133,21,20,0.797
138,240.5,143.5,230,133,21,21,0.804
139,240.5,143.5,230,133,21,21,0.804
140,240.5,143.5,230,133,21,21,0.806
141,240.5,143.5,230,133,21,21,0.806
142,240.5,143.5,230,133,21,21,0.806
143,240.5,143.5,230,133,21,21,0.806
144,240.5,143.5,230,133,21,21,0.812
145,240.5,143.5,230,133,21,21,0.815
146,240.5,143.5,230,133,21,21,0.816
147,240.5,143.5,230,133,21,21,0.818
148,240.5,143.5,230,133,21,21,0.816
149,240.5,143.5,230,133,21,21,0.815
150,240.5,143.5,230,133,21,21,0.813
151,240.5,143.5,230,133,21,21,0.811
152,240.5,143.5,230,133,21,21,0.812
153,240.5,144.0,230,133,21,22,0.812
154,240.5,144.0,230,133,21,22,0.811
155,240.5,144.0,230,133,21,22,0.815
156,241.0,143.5,230,133,22,21,0.81
157,240.5,143.5,230,133,21,21,0.81
158,240.5,143.5,230,133,21,21,0.808
159,240.5,143.5,230,133,21,21,0.81
160,240.5,143.5,230,133,21,21,0.813
161,240.5,143.5,230,133,21,21,0.815
162,241.0,143.5,230,133,22,21,0.815
163,241.0,143.5,230,133,22,21,0.819
164,241.0,143.5,230,133,22,21,0.822
165,241.0,143.5,230,133,22,21,0.822
166,241.0,143.5,230,133,22,21,0.824
167,241.0,143.5,230,133,22,21,0.824
168,241.0,143.5,230,133,22,21,0.82
169,241.0,143.5,230,133,22,21,0.82
170,241.0,143.5,230,133,22,21,0.82
171,241.0,143.5,230,133,22,21,0.818
172,241.0,143.5,230,133,22,21,0.815
173,241.0,143.5,230,133,22,21,0.818
174,241.0,143.5,230,133,22,21,0.818
175,241.0,143.5,230,133,22,21,0.817
176,241.0,143.5,230,133,22,21,0.82
177,241.0,143.5,230,133,22,21,0.821
178,241.0,143.5,230,133,22,21,0.821
179,241.0,143.5,230,133,22,21,0.82
180,241.0,143.5,230,133,22,21,0.813
181,241.0,143.5,230,133,22,21,0.815
182,241.0,143.5,230,133,22,21,0.818
183,241.0,143.5,230,133,22,21,0.815
184,241.0,143.5,230,133,22,21,0.816
185,241.0,143.5,230,133,22,21,0.81
186,240.5,143.5,230,133,21,21,0.785
187,240.5,143.5,230,133,21,21,0.817
188,240.5,143.5,230,133,21,21,0.813
189,241.0,142.5,230,132,22,21,0.811
190,241.0,142.5,230,132,22,21,0.768
191,241.0,142.5,230,133,22,19,0.753
192,241.0,143.0,230,133,22,20,0.735
193,240.0,144.5,229,133,22,23,0.745
194,239.5,145.5,229,133,21,25,0.755
195,239.5,143.0,229,133,21,20,0.725
196,237.5,143.0,229,134,17,18,0.764
197,239.0,143.5,229,134,20,19,0.762
198,239.0,144.0,229,134,20,20,0.755
199,239.0,143.5,229,134,20,19,0.775
200,239.5,143.5,229,134,21,19,0.769
201,240.5,143.0,230,134,21,18,0.765
202,240.5,143.0,230,134,21,18,0.791
203,240.5,142.5,230,133,21,19,0.793
204,241.0,142.5,230,133,22,19,0.798
205,241.5,142.5,231,133,21,19,0.792
206,241.5,143.0,231,134,21,18,0.795
207,241.5,143.0,231,134,21,18,0.783
208,241.5,143.5,231,134,21,19,0.786
209,241.0,143.0,230,133,22,20,0.789
210,241.0,143.0,230,133,22,20,0.814
211,241.0,143.0,231,133,20,20,0.804
212,241.0,143.0,230,133,22,20,0.786
213,241.0,143.0,230,133,22,20,0.779
214,241.0,143.0,230,133,22,20,0.777
215,241.0,143.0,230,133,22,20,0.78
216,240.0,143.0,229,133,22,20,0.796
217,240.5,143.0,230,133,21,20,0.796
218,240.5,143.0,230,133,21,20,0.808
219,240.5,143.5,230,133,21,21,0.818
220,240.5,143.5,230,133,21,21,0.824
221,241.0,143.5,230,133,22,21,0.821
222,241.0,143.5,230,133,22,21,0.821
223,241.0,143.5,230,133,22,21,0.82
224,241.0,143.5,230,133,22,21,0.818
225,241.0,143.5,230,133,22,21,0.816
226,241.0,143.5,230,133,22,21,0.816
227,241.0,143.5,230,133,22,21,0.818
228,241.0,143.5,230,133,22,21,0.813
229,241.0,143.5,230,133,22,21,0.813
230,241.0,143.5,230,133,22,21,0.808
231,241.0,143.5,230,133,22,21,0.808
232,241.0,143.5,230,133,22,21,0.808
233,241.0,143.5,230,133,22,21,0.809
234,241.0,143.5,230,133,22,21,0.808
235,241.0,143.5,230,133,22,21,0.809
236,241.0,143.5,230,133,22,21,0.811
237,241.0,143.5,230,133,22,21,0.812
238,241.0,143.5,230,133,22,21,0.811
239,241.0,143.5,230,133,22,21,0.811
240,241.0,143.5,230,133,22,21,0.803
241,241.0,143.5,230,133,22,21,0.804
242,241.0,143.5,230,133,22,21,0.805
243,241.0,143.5,230,133,22,21,0.806
244,241.0,143.5,230,133,22,21,0.807
245,241.0,143.5,230,133,22,21,0.805
246,241.0,143.5,230,133,22,21,0.8
247,241.0,143.5,230,133,22,21,0.801
248,241.0,143.5,230,133,22,21,0.8
249,241.0,143.5,230,133,22,21,0.8
250,241.0,143.5,230,133,22,21,0.8
251,241.0,143.5,230,133,22,21,0.802
252,241.0,143.5,230,133,22,21,0.801
253,241.0,143.5,230,133,22,21,0.8
254,241.0,143.5,230,133,22,21,0.801
255,241.0,143.5,230,133,22,21,0.802
256,241.0,143.5,230,133,22,21,0.801
257,241.0,143.5,230,133,22,21,0.798
258,241.0,143.5,230,133,22,21,0.8
259,241.0,143.5,230,133,22,21,0.8
260,241.0,143.5,230,133,22,21,0.8
261,241.0,143.5,230,133,22,21,0.802
262,241.0,143.5,230,133,22,21,0.802
263,241.0,143.5,230,133,22,21,0.803
264,241.0,144.0,230,133,22,22,0.818
265,241.0,144.0,230,133,22,22,0.819
266,241.0,144.0,230,133,22,22,0.818
267,241.0,144.0,230,133,22,22,0.818
268,241.0,144.0,230,133,22,22,0.819
269,241.0,144.0,230,133,22,22,0.82
