frame,person_id,nose_x,nose_y,nose_conf,eye_l_x,eye_l_y,eye_l_conf,eye_r_x,eye_r_y,eye_r_conf,ear_l_x,ear_l_y,ear_l_conf,ear_r_x,ear_r_y,ear_r_conf,shoulder_l_x,shoulder_l_y,shoulder_l_conf,shoulder_r_x,shoulder_r_y,shoulder_r_conf,elbow_l_x,elbow_l_y,elbow_l_conf,elbow_r_x,elbow_r_y,elbow_r_conf,wrist_l_x,wrist_l_y,wrist_l_conf,wrist_r_x,wrist_r_y,wrist_r_conf,hip_l_x,hip_l_y,hip_l_conf,hip_r_x,hip_r_y,hip_r_conf,knee_l_x,knee_l_y,knee_l_conf,knee_r_x,knee_r_y,knee_r_conf,ankle_l_x,ankle_l_y,ankle_l_conf,ankle_r_x,ankle_r_y,ankle_r_conf
0,0.0,222.0,201.71,0.981,224.16,198.82,0.871,218.83,199.27,0.969,226.53,201.61,0.55,213.97,202.61,0.922,232.84,219.9,0.994,206.84,221.45,0.999,239.68,238.87,0.947,199.6,245.14,0.994,242.98,245.72,0.936,201.44,265.29,0.985,229.71,264.23,0.997,213.66,264.88,0.999,229.98,296.86,0.991,215.46,297.24,0.996,224.18,327.5,0.951,215.73,330.12,0.971
1,0.0,222.04,201.34,0.983,224.25,198.29,0.894,218.68,198.86,0.964,226.97,200.9,0.661,214.18,202.35,0.911,234.4,219.91,0.997,207.9,221.32,0.999,242.25,238.66,0.974,200.48,245.3,0.994,246.77,241.32,0.965,201.14,265.82,0.987,230.11,263.89,0.999,214.21,264.38,0.999,229.57,296.12,0.997,216.8,296.28,0.998,222.28,327.14,0.981,217.11,330.62,0.987
2,0.0,222.44,201.59,0.988,224.81,198.53,0.923,219.1,199.16,0.974,228.02,200.93,0.686,214.49,202.48,0.916,235.57,219.43,0.997,208.37,221.54,0.999,244.77,237.3,0.974,201.36,244.94,0.995,247.89,241.97,0.966,201.36,265.95,0.988,231.72,263.33,0.999,215.39,263.96,0.999,230.55,295.77,0.997,217.54,295.86,0.998,224.17,327.28,0.98,218.82,329.83,0.987
3,0.0,223.95,202.19,0.987,226.13,199.0,0.913,220.56,199.78,0.973,228.95,201.08,0.661,215.61,202.96,0.92,236.98,219.27,0.997,209.26,222.02,0.999,247.81,237.44,0.976,201.74,244.92,0.995,248.83,246.78,0.969,201.64,266.53,0.989,233.02,264.3,0.999,216.47,265.11,1.0,231.0,297.43,0.997,218.46,297.89,0.998,224.4,329.94,0.982,219.3,332.18,0.988
4,0.0,224.05,202.21,0.988,226.24,198.95,0.913,220.42,199.89,0.976,229.07,201.26,0.673,215.5,203.59,0.932,238.11,219.84,0.997,209.38,222.67,0.999,249.6,236.56,0.971,201.82,245.46,0.996,249.95,238.69,0.962,201.45,266.72,0.989,234.33,264.83,0.999,217.2,265.53,1.0,232.38,297.63,0.997,218.88,297.42,0.998,225.89,329.41,0.98,220.64,332.11,0.988
5,0.0,224.63,202.99,0.987,226.89,199.61,0.909,221.13,200.55,0.973,229.88,201.61,0.68,216.46,203.92,0.924,239.66,220.14,0.997,210.1,222.7,0.999,251.39,237.18,0.973,202.43,245.87,0.996,249.51,235.77,0.966,200.65,266.62,0.99,235.29,265.74,0.999,217.79,266.15,1.0,232.54,299.72,0.997,219.92,298.87,0.998,225.99,332.11,0.978,223.27,334.48,0.986
6,0.0,223.89,203.93,0.982,226.44,200.41,0.914,220.57,201.44,0.952,230.63,202.0,0.789,217.49,204.7,0.866,241.32,220.75,0.998,211.84,223.52,0.999,251.89,239.75,0.981,203.59,246.08,0.994,250.43,244.71,0.973,201.63,267.16,0.986,235.94,266.7,0.999,218.46,267.24,1.0,233.3,300.2,0.997,220.18,300.15,0.998,227.84,331.88,0.982,224.48,334.92,0.987
7,0.0,224.18,204.2,0.967,226.44,200.61,0.86,221.05,201.65,0.906,230.13,202.13,0.772,218.48,204.85,0.821,241.99,220.83,0.998,212.72,223.42,0.999,253.57,240.08,0.984,204.27,246.6,0.993,252.98,243.67,0.976,202.24,267.81,0.984,236.84,267.44,0.999,219.6,267.97,1.0,234.14,301.37,0.998,221.74,301.42,0.998,228.83,333.45,0.984,226.5,337.05,0.988
8,0.0,225.13,202.7,0.981,227.06,199.08,0.865,221.65,200.29,0.957,229.84,200.69,0.651,217.47,203.64,0.909,241.47,218.99,0.998,212.03,223.05,0.999,256.9,235.18,0.979,205.04,247.45,0.997,257.31,234.08,0.974,202.37,268.8,0.993,238.77,267.27,0.999,221.53,268.22,1.0,235.19,302.11,0.998,223.15,301.89,0.999,228.5,335.48,0.987,226.14,338.3,0.992
9,0.0,227.27,202.63,0.982,229.37,198.94,0.872,223.7,200.19,0.968,232.4,200.32,0.616,219.25,203.21,0.923,242.88,219.06,0.996,213.13,222.7,0.999,255.28,239.2,0.957,205.74,246.21,0.997,254.57,250.7,0.949,203.61,268.8,0.991,239.75,267.38,0.999,222.21,268.32,1.0,236.3,303.14,0.997,223.41,303.74,0.999,229.09,336.82,0.98,226.04,339.68,0.99
10,0.0,228.03,202.48,0.983,229.97,198.69,0.928,224.04,200.11,0.954,233.68,199.6,0.754,219.42,203.16,0.844,245.55,217.99,0.997,214.47,221.5,0.998,257.28,240.2,0.976,207.08,245.52,0.99,258.78,255.41,0.961,206.31,271.45,0.975,241.65,265.06,0.999,223.42,266.48,0.999,238.53,301.07,0.995,224.55,302.76,0.997,233.18,334.15,0.972,228.02,339.53,0.977
11,0.0,228.83,201.79,0.985,230.96,197.91,0.938,224.84,199.37,0.96,235.17,198.64,0.772,220.42,202.3,0.846,247.22,217.04,0.996,215.71,220.81,0.998,258.59,239.42,0.971,208.75,245.01,0.988,254.84,252.88,0.954,208.23,271.1,0.972,242.67,264.77,0.999,224.04,266.09,0.999,239.83,301.17,0.994,225.53,302.3,0.996,234.06,335.2,0.968,228.68,339.67,0.975
12,0.0,229.87,200.14,0.985,232.29,196.02,0.948,225.82,197.49,0.957,237.29,196.7,0.786,221.5,200.25,0.805,249.44,215.02,0.996,216.86,218.92,0.997,261.37,236.38,0.973,210.45,244.32,0.977,255.76,245.08,0.955,210.34,271.36,0.953,245.16,265.47,0.998,225.03,267.0,0.998,244.32,302.07,0.991,225.76,303.33,0.992,239.01,335.35,0.95,228.14,340.32,0.952
13,0.0,231.38,198.95,0.988,233.91,194.63,0.957,227.01,196.26,0.965,239.2,195.23,0.779,222.11,199.1,0.814,251.08,213.88,0.997,217.74,218.05,0.997,262.53,236.42,0.974,211.3,244.48,0.978,255.94,246.97,0.958,212.69,272.23,0.956,246.62,266.1,0.998,226.18,267.76,0.998,245.43,302.27,0.991,228.08,303.77,0.992,237.5,336.38,0.949,228.63,341.58,0.951
14,0.0,233.97,196.94,0.989,236.25,192.72,0.929,230.01,194.26,0.976,240.65,192.89,0.665,224.78,196.27,0.902,253.15,212.42,0.997,218.57,217.11,0.999,264.76,233.45,0.969,213.96,244.85,0.993,255.07,244.8,0.962,213.73,270.19,0.986,248.39,265.22,0.999,227.0,266.45,0.999,251.05,300.83,0.997,232.42,301.68,0.998,236.39,333.87,0.983,227.84,336.88,0.989
15,0.0,235.24,195.58,0.989,237.52,191.34,0.936,231.32,192.9,0.976,242.13,191.18,0.682,226.16,194.59,0.892,254.74,210.52,0.996,219.59,215.12,0.999,266.37,231.82,0.965,215.75,241.77,0.992,256.29,245.35,0.956,216.13,265.72,0.983,250.16,264.48,0.998,227.99,265.72,0.999,253.27,300.81,0.996,231.92,301.9,0.998,241.79,334.33,0.978,229.37,337.29,0.985
