frame,person_id,nose_x,nose_y,nose_conf,eye_l_x,eye_l_y,eye_l_conf,eye_r_x,eye_r_y,eye_r_conf,ear_l_x,ear_l_y,ear_l_conf,ear_r_x,ear_r_y,ear_r_conf,shoulder_l_x,shoulder_l_y,shoulder_l_conf,shoulder_r_x,shoulder_r_y,shoulder_r_conf,elbow_l_x,elbow_l_y,elbow_l_conf,elbow_r_x,elbow_r_y,elbow_r_conf,wrist_l_x,wrist_l_y,wrist_l_conf,wrist_r_x,wrist_r_y,wrist_r_conf,hip_l_x,hip_l_y,hip_l_conf,hip_r_x,hip_r_y,hip_r_conf,knee_l_x,knee_l_y,knee_l_conf,knee_r_x,knee_r_y,knee_r_conf,ankle_l_x,ankle_l_y,ankle_l_conf,ankle_r_x,ankle_r_y,ankle_r_conf
0,0.0,221.93,218.68,0.986,224.34,215.8,0.924,218.97,216.17,0.971,227.47,217.87,0.681,214.84,218.63,0.897,233.61,235.8,0.994,207.83,236.6,0.999,241.32,253.24,0.951,200.38,259.13,0.992,243.31,260.65,0.944,200.9,278.76,0.982,229.0,277.94,0.997,212.91,278.15,0.998,230.26,310.44,0.99,214.98,310.3,0.995,225.8,339.86,0.948,215.69,341.97,0.967
1,0.0,222.5,217.2,0.988,224.82,214.08,0.93,219.13,214.79,0.974,227.9,216.1,0.695,214.5,217.67,0.905,235.06,234.8,0.995,208.2,236.27,0.999,244.84,252.6,0.963,201.18,259.58,0.994,246.44,259.27,0.957,201.28,279.61,0.986,230.24,278.54,0.998,213.8,278.91,0.999,230.43,311.53,0.994,216.3,311.58,0.997,224.62,342.04,0.967,216.67,344.83,0.978
2,0.0,223.4,217.06,0.987,225.71,213.94,0.925,220.08,214.64,0.972,228.67,215.96,0.685,215.33,217.47,0.901,236.55,234.46,0.995,209.06,235.94,0.999,247.79,252.0,0.964,201.85,259.09,0.994,246.11,257.84,0.959,200.7,279.37,0.986,231.99,278.91,0.998,215.24,279.09,0.999,231.26,312.86,0.994,217.53,312.25,0.997,225.54,343.45,0.965,218.43,345.19,0.977
3,0.0,224.8,217.4,0.991,226.79,214.42,0.939,221.2,215.04,0.979,229.77,216.49,0.649,215.48,218.16,0.911,237.42,234.45,0.997,209.58,237.03,0.999,248.18,252.19,0.974,201.94,258.77,0.993,248.76,258.39,0.965,201.37,278.33,0.984,233.48,279.11,0.999,216.77,280.02,0.999,231.92,312.97,0.997,218.97,313.27,0.998,225.34,344.48,0.981,218.46,346.29,0.986
4,0.0,225.3,218.01,0.987,227.48,214.78,0.917,221.74,215.64,0.973,230.18,216.76,0.654,216.5,218.69,0.91,239.05,235.18,0.995,210.55,237.24,0.999,252.33,250.75,0.964,203.62,260.41,0.995,248.01,251.32,0.96,201.68,280.35,0.988,234.53,280.67,0.998,217.28,280.81,0.999,232.43,315.45,0.995,219.03,314.25,0.997,225.52,347.26,0.97,219.63,348.67,0.981
5,0.0,224.91,217.92,0.988,227.3,214.66,0.939,221.24,215.63,0.972,231.03,216.66,0.713,216.35,219.01,0.881,240.88,234.98,0.995,211.05,237.49,0.999,253.31,252.34,0.954,202.59,259.17,0.991,249.79,254.03,0.945,200.77,280.24,0.979,236.14,279.88,0.998,218.27,280.6,0.999,234.04,315.39,0.992,220.37,314.9,0.996,226.48,347.27,0.955,221.15,349.47,0.971
6,0.0,225.61,217.84,0.982,227.81,214.47,0.905,222.1,215.59,0.959,231.12,216.31,0.724,218.05,219.05,0.886,241.7,235.3,0.995,211.92,238.89,0.999,254.26,253.0,0.964,204.46,262.09,0.995,249.95,262.55,0.959,201.72,282.58,0.989,237.59,282.06,0.998,219.65,282.93,0.999,234.78,316.37,0.995,220.46,316.88,0.998,228.16,347.22,0.97,223.39,349.73,0.983
7,0.0,224.2,218.03,0.978,226.68,214.51,0.903,221.02,215.55,0.938,230.88,216.28,0.808,218.46,219.01,0.846,242.84,235.69,0.998,213.21,238.76,0.999,254.74,254.06,0.983,205.75,262.58,0.994,253.1,257.29,0.976,203.02,283.26,0.987,237.82,282.44,0.999,220.49,282.88,1.0,234.25,316.04,0.998,222.28,315.75,0.999,227.76,347.55,0.988,226.58,350.35,0.991
8,0.0,226.19,218.48,0.986,228.31,215.07,0.908,222.92,215.88,0.964,231.32,216.92,0.672,218.6,218.74,0.9,241.8,235.19,0.998,213.05,237.83,0.999,255.99,251.79,0.981,205.24,263.42,0.993,257.22,248.34,0.974,203.32,286.12,0.986,238.64,282.66,0.999,221.55,283.4,0.999,235.22,318.57,0.997,223.03,317.94,0.998,228.71,351.46,0.978,226.13,353.9,0.983
9,0.0,227.06,217.53,0.985,229.31,213.77,0.898,223.38,215.21,0.972,233.01,215.12,0.679,219.59,218.52,0.924,244.72,233.75,0.996,214.5,237.83,0.999,260.57,252.03,0.951,207.22,261.17,0.996,258.72,257.29,0.943,204.63,284.28,0.989,240.02,282.64,0.999,222.66,283.36,1.0,234.95,318.75,0.996,224.26,318.31,0.998,226.77,350.5,0.974,227.1,352.83,0.987
10,0.0,227.47,218.46,0.987,229.89,214.23,0.93,223.64,215.95,0.968,234.7,214.45,0.741,220.11,218.4,0.89,245.96,233.02,0.997,215.73,236.71,0.999,256.11,256.6,0.975,208.37,261.29,0.994,256.03,270.66,0.966,205.08,284.75,0.986,241.66,281.37,0.999,223.43,282.68,0.999,239.76,316.65,0.995,224.88,318.59,0.997,232.0,348.95,0.969,227.63,354.52,0.978
11,0.0,229.14,218.77,0.988,231.42,214.59,0.937,225.3,216.17,0.969,235.96,214.59,0.729,221.14,218.18,0.881,247.56,232.35,0.997,216.63,235.99,0.999,258.73,254.01,0.975,210.37,261.0,0.991,252.63,258.37,0.962,207.76,284.81,0.978,242.74,281.63,0.999,223.93,282.81,0.999,241.48,317.7,0.996,225.98,318.37,0.997,232.97,349.7,0.977,227.43,354.1,0.982
12,0.0,230.11,214.95,0.992,232.52,210.76,0.954,225.92,212.53,0.981,237.58,211.33,0.764,221.64,215.59,0.904,250.41,230.86,0.997,217.31,235.14,0.999,261.81,253.78,0.964,210.46,259.73,0.995,253.45,261.83,0.954,208.98,283.7,0.986,245.55,282.24,0.999,225.7,283.33,1.0,244.54,317.63,0.996,228.56,317.83,0.998,233.12,350.43,0.974,227.56,353.87,0.985
13,0.0,231.35,214.18,0.991,233.6,210.0,0.945,227.3,211.7,0.978,238.3,210.3,0.733,222.71,214.33,0.895,251.37,229.41,0.997,217.97,233.55,0.999,263.01,252.86,0.968,212.46,258.82,0.994,253.46,261.05,0.957,211.16,282.71,0.985,246.63,280.59,0.999,226.31,281.58,0.999,245.69,315.4,0.996,228.37,315.53,0.998,234.62,348.31,0.975,227.67,351.42,0.984
14,0.0,233.97,211.73,0.99,236.36,207.54,0.949,229.72,209.27,0.978,241.3,208.13,0.746,224.82,212.32,0.889,253.86,227.68,0.997,219.98,232.52,0.999,264.84,251.08,0.963,214.0,258.63,0.993,253.57,260.89,0.949,215.41,283.11,0.981,249.22,280.2,0.999,228.38,281.55,0.999,248.91,315.3,0.996,230.45,315.79,0.998,238.33,348.38,0.978,228.89,351.38,0.986
15,0.0,236.42,209.78,0.992,238.69,205.8,0.955,232.29,207.4,0.983,243.1,206.68,0.724,226.68,210.51,0.905,255.08,225.74,0.997,221.21,230.74,0.999,267.24,248.01,0.966,215.42,255.85,0.994,253.94,260.07,0.954,216.84,278.83,0.984,251.09,278.85,0.999,229.85,280.2,1.0,251.5,315.28,0.997,231.04,315.67,0.998,243.21,350.66,0.982,229.38,352.29,0.988
16,0.0,237.59,208.27,0.992,240.27,204.16,0.962,233.59,205.72,0.98,245.76,204.97,0.802,229.07,208.76,0.878,258.79,224.6,0.996,223.85,228.91,0.999,270.25,248.1,0.963,218.63,254.08,0.993,255.04,260.14,0.95,222.47,277.74,0.981,253.74,279.34,0.999,231.25,280.23,0.999,254.81,317.19,0.995,230.5,316.89,0.997,248.61,354.01,0.973,229.44,355.37,0.983
17,0.0,239.52,206.87,0.99,242.35,202.69,0.959,235.6,203.98,0.973,248.44,202.96,0.798,231.41,206.05,0.835,261.19,222.59,0.995,226.48,226.49,0.998,273.52,244.42,0.964,221.04,251.92,0.99,258.0,259.17,0.957,226.63,273.89,0.98,256.77,279.4,0.998,233.78,280.0,0.999,258.4,318.34,0.994,231.94,317.94,0.996,254.69,356.51,0.966,229.43,356.94,0.976
18,0.0,242.33,204.81,0.991,245.23,200.46,0.961,238.06,201.83,0.979,251.34,201.24,0.777,233.37,204.47,0.857,264.09,221.86,0.991,228.49,225.63,0.998,276.71,244.38,0.93,222.48,250.24,0.989,262.1,259.87,0.921,232.93,269.26,0.976,262.16,280.41,0.994,238.11,281.24,0.997,263.41,320.16,0.978,234.19,320.13,0.989,262.48,358.0,0.888,232.2,358.81,0.93
19,0.0,246.09,204.33,0.992,248.56,199.85,0.959,241.68,201.36,0.982,253.79,200.06,0.73,235.98,203.54,0.885,265.52,219.84,0.994,230.7,224.09,0.999,279.28,242.84,0.945,223.95,248.06,0.992,266.18,259.11,0.931,236.06,260.56,0.981,263.82,278.02,0.997,239.64,279.41,0.999,268.28,318.26,0.991,235.36,319.53,0.996,269.54,358.77,0.953,230.39,360.22,0.971
20,0.0,248.88,203.01,0.99,251.23,198.57,0.959,244.49,200.09,0.975,256.37,199.11,0.761,238.99,202.7,0.85,267.56,218.76,0.994,234.45,223.41,0.998,282.39,243.82,0.95,226.22,246.64,0.99,272.5,265.45,0.93,238.35,253.28,0.975,267.33,275.66,0.997,243.73,277.55,0.998,271.98,315.84,0.991,236.13,318.56,0.995,278.18,357.7,0.955,230.63,359.44,0.97
21,0.0,251.6,202.97,0.992,254.19,198.49,0.961,247.57,199.9,0.976,259.58,199.19,0.733,241.84,202.15,0.839,270.15,218.12,0.997,237.36,223.26,0.998,286.29,241.34,0.979,227.41,248.12,0.988,276.83,254.46,0.969,239.02,248.56,0.979,271.02,274.94,0.999,247.49,277.01,0.999,275.67,315.86,0.998,238.11,318.24,0.998,282.0,357.89,0.986,229.67,357.92,0.988
22,0.0,253.81,202.67,0.992,256.9,197.99,0.971,249.64,199.38,0.971,264.02,198.66,0.826,245.0,201.86,0.768,275.94,219.35,0.998,241.18,223.23,0.998,290.93,246.24,0.986,228.26,247.41,0.99,280.8,253.44,0.979,237.1,240.48,0.982,274.31,278.19,0.999,249.3,279.6,0.999,280.42,317.61,0.998,239.68,319.34,0.999,286.11,357.64,0.99,228.99,357.86,0.991
